"","trials","target","mean_acc","mean_dist","network","type"
"105",40000,9,0.136363636363636,2.05050505050505,"convolutional","train"
"106",40000,10,0.214912280701754,1.67105263157895,"convolutional","train"
"107",40000,11,0.213389121338912,1.51046025104603,"convolutional","train"
"108",40000,12,0.279661016949153,1.61016949152542,"convolutional","train"
"109",40000,13,0.119565217391304,2.35326086956522,"convolutional","train"
"110",40000,14,0.0072992700729927,3.00729927007299,"convolutional","train"
"111",40000,15,0.0873015873015873,3.62698412698413,"convolutional","train"
"112",40000,16,0,4.36046511627907,"convolutional","train"
"113",40000,17,0.0161290322580645,5.66129032258065,"convolutional","train"
"114",40000,18,0,6.59523809523809,"convolutional","train"
"115",40000,19,0,6.65384615384615,"convolutional","train"
"116",40000,20,0,8.66666666666667,"convolutional","train"
"117",40000,21,0,9,"convolutional","train"
"118",40000,22,0,9.5,"convolutional","train"
"119",40000,23,0,10.3333333333333,"convolutional","train"
"120",40000,24,0,11.6,"convolutional","train"
"121",50000,1,0,5,"convolutional","train"
"122",50000,2,0,6.42307692307692,"convolutional","train"
"123",50000,3,0,5.48979591836735,"convolutional","train"
"124",50000,4,0.0512820512820513,4.80769230769231,"convolutional","train"
"125",50000,5,0,3.78,"convolutional","train"
"126",50000,6,0,3.24545454545455,"convolutional","train"
"127",50000,7,0.1125,2.4625,"convolutional","train"
"128",50000,8,0.201923076923077,2.00961538461538,"convolutional","train"
"129",50000,9,0.282828282828283,1.51515151515152,"convolutional","train"
"130",50000,10,0.149122807017544,1.64473684210526,"convolutional","train"
"131",50000,11,0.280334728033473,1.44351464435146,"convolutional","train"
"132",50000,12,0.199152542372881,1.72457627118644,"convolutional","train"
"133",50000,13,0.271739130434783,2.04891304347826,"convolutional","train"
"134",50000,14,0.0145985401459854,3.07299270072993,"convolutional","train"
"135",50000,15,0.0396825396825397,3.62698412698413,"convolutional","train"
"136",50000,16,0,4.54651162790698,"convolutional","train"
"137",50000,17,0,5.98387096774194,"convolutional","train"
"138",50000,18,0,6.88095238095238,"convolutional","train"
"139",50000,19,0,7.15384615384615,"convolutional","train"
